City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,12.5,75,63,2.35,CL,1701994939
1,al wajh,26.2455,36.4525,20.97,40,0,2.57,SA,1701994940
2,olonkinbyen,70.9221,-8.7187,-2.58,76,42,6.21,SJ,1701994658
3,berriane,32.8265,3.7669,11.45,57,99,3.2,DZ,1701994941
4,ad dujayl,33.8467,44.2344,17.32,49,100,2.45,IQ,1701994941
5,altai,46.3722,96.2583,-15.22,63,0,0.77,MN,1701994942
6,havre,49.5833,0.3333,7.87,100,100,5.14,FR,1701994943
7,bilibino,68.0546,166.4372,-37.12,100,71,1.0,RU,1701994943
8,lorengau,-2.0226,147.2712,28.34,81,95,5.01,PG,1701994345
9,lautoka,-17.6167,177.4667,31.92,58,40,7.2,FJ,1701994944
10,puerto ayora,-0.7393,-90.3518,24.19,95,79,1.79,EC,1701994367
11,vorkuta,67.5,64.0,-25.59,98,100,1.82,RU,1701994945
12,aktau,43.65,51.2,-1.68,70,99,5.64,KZ,1701994945
13,port mathurin,-19.6833,63.4167,25.85,76,8,3.47,MU,1701994946
14,hermanus,-34.4187,19.2345,19.31,73,44,3.42,ZA,1701994946
15,port-aux-francais,-49.35,70.2167,4.15,95,95,14.28,TF,1701994947
16,kone,-21.0595,164.8658,28.96,48,100,3.15,NC,1701994509
17,arafat,21.3594,39.9664,25.07,63,0,1.73,SA,1701994948
18,hotan,37.0997,79.9269,6.35,11,26,1.11,CN,1701994948
19,isafjordur,66.0755,-23.124,-2.19,78,92,4.03,IS,1701994418
20,camapua,-19.5314,-54.0439,25.78,59,69,2.37,BR,1701994949
21,waitangi,-43.9535,-176.5597,14.34,69,51,7.99,NZ,1701994950
22,sinabang,2.4803,96.3801,26.31,83,100,0.31,ID,1701994950
23,kodiak,57.79,-152.4072,-1.27,43,0,5.14,US,1701994951
24,yellowknife,62.456,-114.3525,-10.71,92,100,3.6,CA,1701994362
25,campo gallo,-26.5833,-62.85,22.39,59,0,2.2,AR,1701994951
26,northam,51.0333,-4.2167,10.34,92,54,7.56,GB,1701994592
27,yaren,-0.5472,166.916,26.02,89,100,5.51,NR,1701994714
28,miles city,46.4083,-105.8406,6.54,87,100,10.8,US,1701994953
29,road town,18.4167,-64.6167,27.05,78,40,2.57,VG,1701994482
30,petropavlovsk-kamchatsky,53.0452,158.6483,-7.53,72,40,2.24,RU,1701994386
31,ust-nera,64.5667,143.2,-32.0,95,100,2.12,RU,1701994954
32,fukuecho,32.6881,128.8419,15.2,67,40,4.12,JP,1701994948
33,katabu,-4.9333,122.5167,28.75,73,97,3.07,ID,1701994955
34,suva,-18.1416,178.4415,29.71,70,75,3.6,FJ,1701994955
35,misratah,32.3754,15.0925,18.17,62,28,7.84,LY,1701994956
36,balsas,-7.5325,-46.0356,31.36,33,97,2.36,BR,1701994956
37,la jolla,32.8473,-117.2742,18.55,76,20,3.6,US,1701994956
38,miracema do tocantins,-9.5618,-48.3967,29.36,53,90,0.95,BR,1701994957
39,ilhabela,-23.7781,-45.3581,24.98,90,84,3.25,BR,1701994636
40,adamstown,-25.066,-130.1015,22.99,78,68,5.27,PN,1701994958
41,winfield,37.2398,-96.9956,16.43,63,16,2.24,US,1701994873
42,grytviken,-54.2811,-36.5092,-1.17,92,49,4.44,GS,1701994959
43,west island,-12.1568,96.8225,26.99,78,75,7.72,CC,1701994959
44,zhanaozen,43.3,52.8,0.41,60,100,6.53,KZ,1701994959
45,mount gambier,-37.8333,140.7667,32.81,28,93,5.21,AU,1701994363
46,college,64.8569,-147.8028,-18.08,71,75,1.54,US,1701994394
47,ljusdal,61.8288,16.0913,-5.34,98,100,1.06,SE,1701994961
